code,year,total,GDP,perGDP,population,perCapita
371500,2019,22.4610701,2779.9,0.008079812,5952128,0.00000377362
540400,2019,0.636058893,208.3,0.003053571,238936,0.00000266205
530900,2019,3.27310424,1000.2,0.00327245,2257991,0.00000144956
141000,2019,32.03208952,2227.9,0.014377705,3976481,0.00000805539
622900,2019,4.8132593,408.6,0.011779881,2109750,0.00000228144
371300,2019,63.1045137,5778.5,0.01092057,11018365,0.00000572721
450200,2019,15.22194942,3109.1,0.004895934,4157934,0.00000366094
341500,2019,14.87689793,2004.6,0.00742138,4393699,0.00000338596
520200,2019,0,1503.6,0,3031602,0
350800,2019,14.63307075,3314.5,0.004414865,2723637,0.00000537262
621200,2019,1.424753936,562.4,0.002533346,2407272,0.000000591854
431300,2019,0,1929.5,0,3826996,0
510500,2019,7.90846037,2601.5,0.003039962,4254149,0.000001859
141100,2019,21.73755854,2418.9,0.008986547,3398431,0.00000639635
410300,2019,86.5349677,5675.2,0.015247915,7056699,0.0000122628
411100,2019,37.187546,1812.9,0.02051274,2367490,0.0000157076
340500,2019,70.8876734,2521,0.028118871,2159930,0.0000328194
440900,2019,0,3904.6,0,6174050,0
511400,2019,0,1635.5,0,2955219,0
441400,2019,19.13999846,1318.2,0.014519799,3873239,0.0000049416
510700,2019,26.07017362,3626.9,0.007188005,4868243,0.00000535515
231000,2019,46.00451142,925.7,0.049696998,2290208,0.0000200875
540600,2019,0.684988917,193.2,0.003545491,504838,0.00000135685
360100,2019,9.83896974,7203.5,0.00136586,6255007,0.00000157298
511300,2019,5.41786387,2685.5,0.002017451,5607565,0.00000096617
320100,2019,0,16907.9,0,9314685,0
450100,2019,31.86818653,5218.3,0.006107005,8741584,0.00000364558
350700,2019,8.6724325,2211.8,0.003920984,2680645,0.0000032352
320600,2019,58.3985599,11379.6,0.005131864,7726635,0.00000755808
411300,2019,43.92318972,4555.4,0.009642005,9713112,0.00000452205
511000,2019,0,1657,0,3140678,0
330200,2019,97.2366456,15704.3,0.006191721,9404283,0.0000103396
350900,2019,2.33285085,3554.6,0.000656291,3146789,0.000000741343
533300,2019,1.59668856,249.9,0.00638931,552694,0.00000288892
510400,2019,0,1220.5,0,1212203,0
211100,2019,0,1394.3,0,1389691,0
410400,2019,0,2839.3,0,4987137,0
620800,2019,23.54341012,641.6,0.036694841,1848607,0.0000127358
360300,2019,0,1160.3,0,1804805,0
350300,2019,21.3860333,3116.3,0.006862636,3210714,0.00000666083
410900,2019,0,1889.5,0,3772088,0
530800,2019,7.380790657,1073,0.006878649,2404954,0.00000306899
230900,2019,0,268.9,0,689611,0
230200,2019,50.53602826,1318,0.038342965,4067489,0.0000124244
522600,2019,8.922408688,1293.1,0.006900014,3758622,0.00000237385
522700,2019,1.52347069,1772.2,0.000859649,3494385,0.000000435977
522300,2019,3.24299261,1508.7,0.002149528,3015112,0.00000107558
450700,2019,3.89478006,1917,0.002031706,3302238,0.00000117944
130300,2019,6.20240078,1909.5,0.003248181,3136879,0.00000197725
370200,2019,60.9031682,14920.8,0.004081763,10071722,0.00000604695
441800,2019,2.86885836,2032,0.00141184,3969473,0.00000072273
621000,2019,29.52012003,1022.3,0.028876181,2179716,0.0000135431
530300,2019,79.08924768,3802.2,0.020800917,5765775,0.000013717
330800,2019,8.01393487,2003.4,0.004000167,2276184,0.00000352078
350500,2019,0,12103,0,8782285,0
540200,2019,0.569507096,361.9,0.001573659,798153,0.000000713531
371100,2019,29.9286529,2306.8,0.0129741,2968365,0.0000100825
411200,2019,18.0596649,1676.4,0.010772885,2034872,0.00000887509
350400,2019,7.15024076,3110.1,0.002299039,2486450,0.00000287568
460200,2019,8.02464328,847.1,0.009473077,1031396,0.00000778037
350200,2019,0,7802.7,0,5163970,0
540500,2019,4.822999134,243,0.019847733,354035,0.0000136229
440500,2019,0,3017.4,0,5502031,0
441500,2019,0,1322,0,2738482,0
611000,2019,5.04598075,902.6,0.005590495,2041231,0.00000247203
411400,2019,19.6429059,3262.7,0.006020445,7816831,0.0000025129
310000,2019,260.638426,44652.8,0.005837001,24870895,0.0000104797
361100,2019,13.7516013,3309.7,0.004154939,6491088,0.00000211854
440200,2019,13.10204,1563.9,0.008377799,2855131,0.00000458895
430500,2019,20.25921334,2599.2,0.007794403,6563520,0.00000308664
330600,2019,27.9071746,7350.6,0.003796585,5270977,0.0000052945
440300,2019,118.032418,32387.7,0.003644359,17494398,0.00000674687
210100,2019,147.7676096,7695.8,0.019201072,9070093,0.0000162917
420300,2019,8.67151837,2304.7,0.003762537,3209004,0.00000270225
130100,2019,74.3057719,7100.6,0.010464717,11235086,0.00000661373
640200,2019,0,693.3,0,751389,0
230500,2019,31.55170215,557.2,0.056625453,1208803,0.0000261016
140600,2019,83.6154083,1536.2,0.054430028,1593444,0.0000524746
220300,2019,33.20397916,581.7,0.057080934,1814733,0.0000182969
220700,2019,7.0498458,872.8,0.008077275,2252994,0.0000031291
320500,2019,0,23958.3,0,12748262,0
321300,2019,25.1901773,4112,0.006126016,4986192,0.00000505199
341300,2019,26.04581678,2224.6,0.01170809,5324476,0.00000489171
231200,2019,58.94257922,1238.1,0.047607285,3756167,0.0000156922
421300,2019,5.18138536,1328.8,0.003899297,2047923,0.00000253007
510900,2019,5.5298004,1614.5,0.003425085,2814196,0.00000196497
654200,2019,47.2649543,877.5,0.053863196,1108747,0.0000426292
331000,2019,50.2142026,6040.7,0.008312646,6622888,0.00000758192
140100,2019,76.7989515,5571.2,0.013784993,5304061,0.0000144793
370900,2019,0,3198.1,0,5472217,0
321200,2019,0,6401.8,0,4512762,0
130200,2019,65.6490855,8900.7,0.007375722,7717983,0.00000850599
120000,2019,166.905842,16311.3,0.010232528,13866009,0.000012037
620500,2019,9.94312528,813.9,0.012216642,2984659,0.00000333141
211200,2019,14.5753338,754.2,0.019325555,2388294,0.00000610282
220500,2019,23.87704801,881,0.027102211,1812114,0.0000131763
150500,2019,43.99523664,1561.8,0.028169571,2873168,0.0000153124
610200,2019,0,505.6,0,698322,0
340700,2019,0,1209.9,0,1311726,0
520600,2019,7.078763245,1477.2,0.004792014,3298468,0.00000214608
650400,2019,10.33276986,526.6,0.019621667,693988,0.000014889
371000,2019,0,3408.2,0,2906548,0
370700,2019,87.3549302,7306.5,0.011955783,9386705,0.00000930624
610500,2019,76.3920113,2201.1,0.034706288,4688744,0.0000162926
330300,2019,42.1043364,8029.8,0.00524351,9572903,0.00000439828
532600,2019,3.580680084,1405.4,0.002547801,3503218,0.00000102211
150300,2019,0,803.3,0,556621,0
150900,2019,24.83677565,1017.9,0.024400015,1706328,0.0000145557
650100,2019,53.40498636,3893.2,0.013717504,4054369,0.0000131722
320200,2019,255.181526,14850.8,0.017183015,7462135,0.0000341969
640300,2019,7.96985575,867,0.009192452,1382713,0.00000576393
340200,2019,0,4502.1,0,3644420,0
450400,2019,0,1419.7,0,2820977,0
420100,2019,0,18866.4,0,12447718,0
